province,male,agegroup,income,education,n,cell_prop_of_division_total
Manitoba,0,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
Manitoba,0,ages18to24,"$75,000 to $99,999",Some College,0,0
Manitoba,0,ages18to24,"$75,000 to $99,999",Some University,0,0
Manitoba,0,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
Manitoba,0,ages18to24,"$75,000 to $99,999",Degree above Bachelor's,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",No Highschool,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",Some College,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",Some University,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
Manitoba,0,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
Manitoba,0,ages18to24,"$125,000 and more",No Highschool,0,0
Manitoba,0,ages18to24,"$125,000 and more",Completed Highschool,0,0
Manitoba,0,ages18to24,"$125,000 and more",Some College,0,0
Manitoba,0,ages18to24,"$125,000 and more",Some University,0,0
Manitoba,0,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
Manitoba,0,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"Less than $25,000",No Highschool,3,0.0026200873362445414
Manitoba,1,ages18to24,"Less than $25,000",Completed Highschool,16,0.013973799126637555
Manitoba,1,ages18to24,"Less than $25,000",Some College,4,0.0034934497816593887
Manitoba,1,ages18to24,"Less than $25,000",Some University,0,0
Manitoba,1,ages18to24,"Less than $25,000",Bachelor's Degree,2,0.0017467248908296944
Manitoba,1,ages18to24,"Less than $25,000",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"$25,000 to $49,999",No Highschool,0,0
Manitoba,1,ages18to24,"$25,000 to $49,999",Completed Highschool,4,0.0034934497816593887
Manitoba,1,ages18to24,"$25,000 to $49,999",Some College,3,0.0026200873362445414
Manitoba,1,ages18to24,"$25,000 to $49,999",Some University,0,0
Manitoba,1,ages18to24,"$25,000 to $49,999",Bachelor's Degree,0,0
Manitoba,1,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"$50,000 to $74,999",No Highschool,0,0
Manitoba,1,ages18to24,"$50,000 to $74,999",Completed Highschool,2,0.0017467248908296944
Manitoba,1,ages18to24,"$50,000 to $74,999",Some College,0,0
Manitoba,1,ages18to24,"$50,000 to $74,999",Some University,0,0
Manitoba,1,ages18to24,"$50,000 to $74,999",Bachelor's Degree,1,8.733624454148472e-4
Manitoba,1,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",No Highschool,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",Some College,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",Some University,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
Manitoba,1,ages18to24,"$75,000 to $99,999",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",No Highschool,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",Some College,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",Some University,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",Bachelor's Degree,0,0
Manitoba,1,ages18to24,"$100,000 to $ 124,999",Degree above Bachelor's,0,0
Manitoba,1,ages18to24,"$125,000 and more",No Highschool,0,0
Manitoba,1,ages18to24,"$125,000 and more",Completed Highschool,0,0
Manitoba,1,ages18to24,"$125,000 and more",Some College,0,0
Manitoba,1,ages18to24,"$125,000 and more",Some University,0,0
Manitoba,1,ages18to24,"$125,000 and more",Bachelor's Degree,0,0
Manitoba,1,ages18to24,"$125,000 and more",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"Less than $25,000",No Highschool,3,0.0023219814241486067
New Brunswick,0,ages18to24,"Less than $25,000",Completed Highschool,13,0.010061919504643963
New Brunswick,0,ages18to24,"Less than $25,000",Some College,8,0.006191950464396285
New Brunswick,0,ages18to24,"Less than $25,000",Some University,0,0
New Brunswick,0,ages18to24,"Less than $25,000",Bachelor's Degree,3,0.0023219814241486067
New Brunswick,0,ages18to24,"Less than $25,000",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"$25,000 to $49,999",No Highschool,0,0
New Brunswick,0,ages18to24,"$25,000 to $49,999",Completed Highschool,1,0.00077399380804953565
New Brunswick,0,ages18to24,"$25,000 to $49,999",Some College,1,0.00077399380804953565
New Brunswick,0,ages18to24,"$25,000 to $49,999",Some University,1,0.00077399380804953565
New Brunswick,0,ages18to24,"$25,000 to $49,999",Bachelor's Degree,0,0
New Brunswick,0,ages18to24,"$25,000 to $49,999",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"$50,000 to $74,999",No Highschool,0,0
New Brunswick,0,ages18to24,"$50,000 to $74,999",Completed Highschool,1,0.00077399380804953565
New Brunswick,0,ages18to24,"$50,000 to $74,999",Some College,0,0
New Brunswick,0,ages18to24,"$50,000 to $74,999",Some University,0,0
New Brunswick,0,ages18to24,"$50,000 to $74,999",Bachelor's Degree,0,0
New Brunswick,0,ages18to24,"$50,000 to $74,999",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",No Highschool,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",Completed Highschool,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",Some College,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",Some University,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",Bachelor's Degree,0,0
New Brunswick,0,ages18to24,"$75,000 to $99,999",Degree above Bachelor's,0,0
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",No Highschool,0,0
New Brunswick,0,ages18to24,"$100,000 to $ 124,999",Completed Highschool,0,0
