province,male,agegroup,income,education,age,SupportLP,SupportCP,SupportNDP,SupportBQ,SupportGP,SupportPP,SupportAnother
Ontario,1,ages35to44,"$100,000 to $ 124,999",Bachelor's Degree,40,1,0,0,0,0,0,0
Quebec,1,ages45to54,"Less than $25,000",Bachelor's Degree,46,1,0,0,0,0,0,0
Quebec,1,ages35to44,"$25,000 to $49,999",Completed Highschool,41,0,0,1,0,0,0,0
Ontario,1,ages25to34,"$75,000 to $99,999",Degree above Bachelor's,33,1,0,0,0,0,0,0
Quebec,0,ages65to74,"Less than $25,000",Some College,67,0,1,0,0,0,0,0
Quebec,0,ages55to64,"$50,000 to $74,999",Bachelor's Degree,55,1,0,0,0,0,0,0
Ontario,1,ages75plus,"$50,000 to $74,999",Bachelor's Degree,75,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$75,000 to $99,999",Bachelor's Degree,55,1,0,0,0,0,0,0
Quebec,0,ages18to24,"$125,000 and more",Some College,19,1,0,0,0,0,0,0
Ontario,0,ages65to74,"$75,000 to $99,999",Bachelor's Degree,67,0,1,0,0,0,0,0
Quebec,0,ages65to74,"$25,000 to $49,999",Completed Highschool,68,1,0,0,0,0,0,0
Alberta,1,ages65to74,"$25,000 to $49,999",Completed Highschool,68,0,1,0,0,0,0,0
Ontario,0,ages35to44,"$50,000 to $74,999",Bachelor's Degree,35,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$100,000 to $ 124,999",Bachelor's Degree,61,1,0,0,0,0,0,0
Ontario,0,ages55to64,"Less than $25,000",Completed Highschool,57,1,0,0,0,0,0,0
Quebec,1,ages45to54,"Less than $25,000",Some University,45,0,0,0,1,0,0,0
Ontario,0,ages65to74,"$25,000 to $49,999",Bachelor's Degree,70,0,0,0,0,1,0,0
Ontario,0,ages55to64,"$125,000 and more",Some College,55,0,0,0,0,1,0,0
Ontario,0,ages55to64,"$50,000 to $74,999",Bachelor's Degree,62,1,0,0,0,0,0,0
